"CPC V10","CPCpartial","ISIC Rev3","ISICpartial","Comment"
"34260",0,"2411",1,
"34270",0,"2411",1,
"34280",0,"2411",1,
"34290",0,"2411",1,
"34310",0,"2411",1,
"34320",0,"2411",1,
"34330",0,"2411",1,
"34340",0,"2411",1,
"34400",0,"2411",1,
"34510",0,"2411",1,
"34520",0,"2411",1,
"34530",0,"2411",1,
"34540",0,"2411",1,
"34550",0,"2429",1,
"34560",0,"2411",1,
"34570",0,"2424",1,
"34611",0,"2412",1,
"34612",0,"2412",1,
"34613",0,"2412",1,
"34614",0,"2412",1,
"34615",0,"2412",1,
"34616",0,"2412",1,
"34617",0,"2412",1,
"34619",0,"2412",1,
"34620",0,"2421",1,
"34710",0,"2413",1,
"34720",0,"2413",1,
"34730",0,"2413",1,
"34740",0,"2413",1,
"34790",0,"2413",1,
"34800",0,"2413",1,
"35110",0,"2422",1,
"35120",0,"2422",1,
"35130",0,"2422",1,
"35140",0,"2429",1,
"35210",0,"2423",1,
"35220",0,"2423",1,
"35230",0,"2423",1,
"35240",0,"2423",1,
"35250",0,"2423",1,
"35260",0,"2423",1,
"35290",0,"2423",1,
"35310",0,"2424",1,
"35321",0,"2424",1,
"35322",0,"2424",1,
"35323",0,"2424",1,
"35331",0,"2424",1,
"35332",0,"2424",1,
"35333",0,"2424",1,
"35334",0,"2424",1,
"35410",0,"2429",1,
"35420",0,"2429",1,
"35430",0,"2429",1,
"35440",0,"2429",1,
"35450",0,"2429",1,
"35460",0,"2429",1,
"35470",0,"2429",1,
"35490",0,"2429",1,
"35510",0,"2430",1,
"35520",0,"2430",1,
"35530",0,"2430",1,
"35540",0,"2430",1,
"35550",0,"2430",1,
"35560",0,"2430",1,
"36111",0,"2511",1,
"36112",0,"2511",1,
"36113",0,"2511",1,
"36114",0,"2511",1,
"36115",0,"2511",1,
"36120",0,"2511",1,
"36210",0,"2519",1,
"36220",0,"2519",1,
"36230",0,"2519",1,
"36240",0,"2519",1,
"36250",0,"2519",1,
"36260",0,"2519",1,
"36270",0,"2519",1,
"36310",0,"2520",1,
"36320",0,"2520",1,
"36330",0,"2520",1,
"36390",0,"2520",1,
"36410",0,"2520",1,
"36490",0,"2520",1,
"36910",0,"2520",1,
"36920",0,"2520",1,
"36930",0,"2520",1,
"36940",0,"2520",1,
"36950",0,"2520",1,
"36960",0,"2520",1,
"36970",0,"2520",1,
"36980",0,"2520",1,
"36990",0,"2520",1,
"37111",0,"2610",1,
"37112",0,"2610",1,
"37113",0,"2610",1,
"37114",0,"2610",1,
"37115",0,"2610",1,
"37116",0,"2610",1,
"37117",0,"2610",1,
"37121",0,"2610",1,
"37129",0,"2610",1,
"37191",0,"2610",1,
"37192",0,"2610",1,
"37193",0,"2610",1,
"37194",0,"2610",1,
"37195",0,"2610",1,
"37196",0,"2610",1,
"37197",0,"2610",1,
"37199",0,"2610",1,
"37210",0,"2691",1,
"37221",0,"2691",1,
"37222",0,"2691",1,
"37291",0,"2691",1,
"37292",0,"2691",1,
"37299",0,"2691",1,
"37310",0,"2692",1,
"37320",0,"2692",1,
"37330",0,"2692",1,
"37340",0,"2692",1,
"37350",0,"2693",1,
"37360",0,"2693",1,
"37370",0,"2693",1,
"37410",0,"2694",1,
"37420",0,"2694",1,
"37430",0,"2694",1,
"37440",0,"2694",1,
"37450",0,"2694",1,
"37510",0,"2695",1,
"37520",0,"2695",1,
"37530",0,"2695",1,
"37540",0,"2695",1,
"37550",0,"2695",1,
"37560",0,"2695",1,
"37570",0,"2695",1,
"37610",0,"2696",1,
"37690",0,"2696",1,
"37910",0,"2699",1,
"37920",0,"2699",1,
"37930",0,"2699",1,
"37940",0,"2699",1,
"37950",0,"2699",1,
"37960",0,"2699",1,
"37990",0,"2699",1,
"38111",0,"3610",1,
"38112",0,"3610",1,
"38119",0,"3610",1,
"38121",0,"3610",1,
"38122",0,"3610",1,
"38130",0,"3610",1,
"38140",0,"3610",1,
"38150",0,"3610",1,
"38160",0,"3610",1,
"38210",0,"0500",1,
"38220",0,"3691",1,
